기준_년분기_코드,업종,상권_코드,남성_매출_건수,여성_매출_건수
20212,요식업,영등포구,8334298,6768027
20212,요식업,용산구,6691894,7223346
20212,요식업,은평구,6471056,6317337
20212,요식업,종로구,4911865,5459483
20212,요식업,중구,3846892,3511287
20212,요식업,중랑구,7635161,6295949
20212,서비스업,강남구,2361400,2237353
20212,서비스업,강동구,3718944,2854093
20212,서비스업,강북구,3047966,2476467
20212,서비스업,강서구,4498562,3758576
20212,서비스업,관악구,6366697,4316559
20212,서비스업,광진구,3551788,2864546
20212,서비스업,구로구,3315870,2709690
20212,서비스업,금천구,2605773,2095858
20212,서비스업,노원구,1910061,1398983
20212,서비스업,도봉구,2117303,1919902
