기준_년분기_코드,업종,상권_코드,총 매출
20202,판매업,강동구,599604509923
20202,판매업,강북구,481673237519
20202,판매업,강서구,652704912143
20202,판매업,관악구,703801237567
20202,판매업,광진구,612832771726
20202,판매업,구로구,509068033049
20202,판매업,금천구,877531968156
20202,판매업,노원구,236083546341
20202,판매업,도봉구,335456046981
20202,판매업,동대문구,1021616922774
20202,판매업,동작구,444393232095
20202,판매업,마포구,553612714707
20202,판매업,서대문구,392996034263
20202,판매업,서초구,476823343377
20202,판매업,성동구,417870209949
20202,판매업,성북구,397945263549
20202,판매업,송파구,703745271109
20202,판매업,양천구,334871783877
20202,판매업,영등포구,997679828814
20202,판매업,용산구,814629026567
20202,판매업,은평구,531231206322
20202,판매업,종로구,328579272383
20202,판매업,중구,317524722599
20202,판매업,중랑구,688589452474
20203,요식업,강남구,568713977522
20203,요식업,강동구,283551296004
20203,요식업,강북구,220157148807
20203,요식업,강서구,310023377744
20203,요식업,관악구,338921541722
20203,요식업,광진구,273659218980
20203,요식업,구로구,193130951943
20203,요식업,금천구,163201551952
20203,요식업,노원구,184781412786
20203,요식업,도봉구,117447253301
20203,요식업,동대문구,267475753825
20203,요식업,동작구,231206854922
20203,요식업,마포구,366746104222
20203,요식업,서대문구,230701329435
20203,요식업,서초구,244466141840
20203,요식업,성동구,202089252090
20203,요식업,성북구,263293721945
20203,요식업,송파구,329246418068
20203,요식업,양천구,162686186910
20203,요식업,영등포구,305693805926
20203,요식업,용산구,307620972654
20203,요식업,은평구,263888231969
20203,요식업,종로구,193291295617
20203,요식업,중구,143703117115
20203,요식업,중랑구,318160483722
20203,서비스업,강남구,508805865257
20203,서비스업,강동구,245128425112
20203,서비스업,강북구,181228640649
20203,서비스업,강서구,317280266083
20203,서비스업,관악구,314918862251
20203,서비스업,광진구,215656512280
20203,서비스업,구로구,173274594172
20203,서비스업,금천구,149571546257
20203,서비스업,노원구,102656477421
20203,서비스업,도봉구,117587114278
20203,서비스업,동대문구,188391224394
20203,서비스업,동작구,223545619475
20203,서비스업,마포구,211285226001
20203,서비스업,서대문구,143684919442
20203,서비스업,서초구,215895862153
20203,서비스업,성동구,127627424093
20203,서비스업,성북구,210168099806
20203,서비스업,송파구,317273919909
20203,서비스업,양천구,201485198361
20203,서비스업,영등포구,191105585339
20203,서비스업,용산구,107991874699
20203,서비스업,은평구,248139138437
20203,서비스업,종로구,59054135467
20203,서비스업,중구,57101945557
20203,서비스업,중랑구,239342130627
20203,판매업,강남구,1173358372471
20203,판매업,강동구,554155925755
20203,판매업,강북구,460067263520
20203,판매업,강서구,633640713903
20203,판매업,관악구,659581975952
20203,판매업,광진구,577677524003
20203,판매업,구로구,488538298437
20203,판매업,금천구,974465040091
20203,판매업,노원구,221532081262
20203,판매업,도봉구,339277040299
